model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
Autoformer_1,1,1,46404.2822265625,40063.273,0.03674289814777587
Autoformer_1,1,2,44353.769321236556,38562.637,0.07282335619196456
Autoformer_1,1,3,43205.97029359879,38049.363,0.08516415870581928
Autoformer_1,1,4,42714.36212617608,37738.754,0.09263220751625478
Autoformer_1,1,5,42438.207304267475,37527.85,0.09770308957477025
Autoformer_1,1,6,42230.1396484375,37348.438,0.102016868108183
Autoformer_1,1,7,41974.57642389113,37262.598,0.10408067511956287
Autoformer_1,1,8,41753.91712869624,37156.223,0.10663830854762679
Autoformer_1,1,9,41670.65118867608,37110.04,0.1077487559569299
Autoformer_1,1,10,41461.28511424731,37082.72,0.10840550516012892
Autoformer_1,1,11,41532.67737735215,37028.844,0.10970087424797703
Autoformer_1,1,12,41373.31743531586,37011.293,0.11012287751822702
Autoformer_1,1,13,41355.90140919019,36994.418,0.11052863127981871
Autoformer_1,1,14,41184.71490675403,36958.293,0.11139724376290716
Autoformer_1,1,15,41162.63079637097,36917.29,0.11238311723042682
Autoformer_1,1,16,41121.33294480847,36909.555,0.11256900650947954
Autoformer_1,1,17,41049.21274361559,36849.37,0.1140160988857648
Autoformer_1,1,18,40914.97400033602,36878.69,0.11331111712734576
Autoformer_1,1,19,41012.02795278898,36869.426,0.11353385248147119
Autoformer_1,1,20,40903.305034022174,36875.492,0.11338803770656924
Autoformer_1,1,21,40866.89926705309,36813.836,0.1148706074391147
Autoformer_1,1,22,40860.31974546371,36791.234,0.115413954726718
Autoformer_1,1,23,40686.589077200944,36790.2,0.11543879197424034
Autoformer_1,1,24,40807.00855804772,36809.85,0.11496627198345122
Autoformer_1,1,25,40707.8185483871,36782.445,0.11562521582424445
Autoformer_1,1,26,40671.21338415659,36831.26,0.11445142072139969
Autoformer_1,1,27,40619.53791792675,36812.04,0.11491375064243003
Autoformer_1,1,28,40659.28540826613,36735.312,0.11675844974457894
Autoformer_1,1,29,40586.667317708336,36771.47,0.11588905483902434
Autoformer_1,1,30,40523.4172547043,36778.414,0.11572202758334138
Autoformer_2,1,1,46683.79138314852,40610.82,0.023578113936090772
Autoformer_2,1,2,45031.64244161626,39007.504,0.062127248930397116
Autoformer_2,1,3,43575.656953545025,38301.523,0.07910145858840967
Autoformer_2,1,4,42845.44635206653,37786.99,0.09147258256479296
Autoformer_2,1,5,42272.04730552755,37488.05,0.09865998294439815
Autoformer_2,1,6,42149.157615087366,37321.105,0.10267383534151486
Autoformer_2,1,7,41793.00487231183,37216.086,0.10519894324116241
Autoformer_2,1,8,41718.28624831989,37144.652,0.10691638859516273
Autoformer_2,1,9,41551.66405199933,37085.25,0.10834477899981854
Autoformer_2,1,10,41358.76413390457,37049.098,0.10921399075759308
Autoformer_2,1,11,41399.35105846774,37025.273,0.10978693662821859
Autoformer_2,1,12,41347.3940797211,37009.67,0.11016182258029172
Autoformer_2,1,13,41195.380880376346,37005.88,0.11025305903020444
Autoformer_2,1,14,41157.08739709341,36983.85,0.11078270941958446
Autoformer_2,1,15,41228.97285576277,36909.957,0.11255944233515303
