model,pred_len,epoch,train_loss,val_loss,r2_val,r2_val_sklearn
Autoformer,7,1,5498.533609501008,4690.238,-0.08283077214169166,-0.1252228942184434
Autoformer,7,2,4727.634230090725,4442.4565,-0.01705813249129462,-0.05687520110837996
Autoformer,7,3,4507.484208039315,4312.7046,0.016619108009088945,-0.02187968322943141
Autoformer,7,4,4353.925209488407,4207.1616,0.042578756080906666,0.005095890053148906
Autoformer,7,5,4225.899196698589,4099.4346,0.06852345947573035,0.03205582318873353
Autoformer,7,6,4110.174541645665,4000.6257,0.09203794755356809,0.05649036654152632
Autoformer,7,7,4024.1459425403227,3919.6375,0.11077113117106163,0.07595613179176851
Autoformer,7,8,3948.973569808468,3863.5125,0.12348154794887789,0.08916357283013947
Autoformer,7,9,3889.488697076613,3814.5806,0.13454079495773819,0.1006554312415989
Autoformer,7,10,3827.813119014617,3771.0637,0.1439120996106823,0.11039311303034362
Autoformer,7,11,3778.5138388356854,3734.7205,0.15182961585098476,0.11862028258793948
Autoformer,7,12,3727.9511766003025,3671.4622,0.16615548399963054,0.1335066853464899
Autoformer,7,13,3683.758185798891,3619.5254,0.17784482587544392,0.14565326466094253
Autoformer,7,14,3622.1847813760082,3559.7703,0.19128517540386614,0.15961933915234808
Autoformer,7,15,3577.418206590222,3515.264,0.20109390641164604,0.16981170686058814
Autoformer,7,16,3533.686009954637,3479.8364,0.2095779561333465,0.17862757953392147
Autoformer,7,17,3484.64486359627,3452.2603,0.21621246255205062,0.18552169881041164
Autoformer,7,18,3461.018170362903,3418.6367,0.22391777678126046,0.19352847645204999
Autoformer,7,19,3431.9861958165325,3395.1174,0.22896579101650527,0.19877404914695337
Autoformer,7,20,3406.758713457661,3367.519,0.23558057790291032,0.20564771332245968
Autoformer,7,21,3382.2418110509075,3357.83,0.23845200225231167,0.2086314426037439
Autoformer,7,22,3371.306339780746,3336.96,0.24336055350598207,0.2137321529553272
Autoformer,7,23,3355.0463000882055,3316.6003,0.24804022176054574,0.2185948526928949
Autoformer,7,24,3331.2134639616934,3302.888,0.25078991830522024,0.2214519346799026
Autoformer,7,25,3316.7330361643144,3292.831,0.2531881358905511,0.22394410794078773
Autoformer,7,26,3300.569239856351,3291.8462,0.2532811525523393,0.2240407412339974
Autoformer,7,27,3288.8440209173386,3281.3591,0.2561670254898717,0.22703947210905354
Autoformer,7,28,3273.0481823336695,3275.2305,0.2573368030285199,0.2282550936290548
Autoformer,7,29,3257.416275516633,3265.106,0.2603164987722427,0.23135142556411178
Autoformer,7,30,3249.7337874873992,3264.8464,0.26068918553047404,0.23173873869674902
Autoformer,8,1,6515.010902847782,5423.4805,-0.061908635242410526,-0.10907374553425839
Autoformer,8,2,5471.366488155242,5090.336,0.010938064640279133,-0.03299211383944088
Autoformer,8,3,5205.739585433468,4943.4067,0.04210522674609429,-0.0004406184770142929
Autoformer,8,4,5063.120523563508,4839.081,0.06422529901245788,0.022661790084373537
Autoformer,8,5,4963.021857673891,4753.9062,0.0822566113281118,0.041493610879780665
Autoformer,8,6,4874.513134765625,4683.1855,0.09725590691712527,0.05715879024292486
Autoformer,8,7,4793.936983366935,4609.1772,0.11204726393951325,0.07260657852387047
Autoformer,8,8,4707.77427702873,4532.5273,0.1270798982817649,0.08830628364058137
Autoformer,8,9,4628.570618069556,4467.824,0.13962727145048215,0.10141042944933806
Autoformer,8,10,4561.731253150202,4413.703,0.14996009412195876,0.112201701948734
Autoformer,8,11,4506.795926789315,4375.093,0.1574070190595589,0.11997920838232756
Autoformer,8,12,4462.701672757056,4345.836,0.16316443123662927,0.1259919537242264
Autoformer,8,13,4418.754709551411,4323.1064,0.1680645611875753,0.13110947765326902
Autoformer,8,14,4388.249697580645,4303.025,0.1723482099643573,0.13558312132767403
Autoformer,8,15,4354.556653225806,4286.0586,0.17520362655241606,0.1385651800503373
Autoformer,8,16,4333.2979271673385,4270.7437,0.17911864397196464,0.14265398352487776
Autoformer,8,17,4302.377107484879,4254.6597,0.18361146961192087,0.14734611395065852
Autoformer,8,18,4272.88500031502,4233.834,0.18728740054396142,0.1511852422316835
Autoformer,8,19,4246.516533833165,4230.3794,0.18879231186513235,0.15275682044371203
Autoformer,8,20,4228.222013608871,4212.1577,0.19305386181119644,0.15720745264089087
Autoformer,8,21,4198.7264049899195,4195.203,0.19676932297921934,0.16108785017361504
Autoformer,8,22,4181.85179719002,4192.2686,0.19807267772367032,0.16244912965386832
Autoformer,8,23,4155.03548859627,4194.167,0.1981401172587921,0.16251951791824965
Autoformer,8,24,4137.693638167842,4183.254,0.20028284655619955,0.1647572180475504
Autoformer,8,25,4120.999714906754,4179.5933,0.20115498834091006,0.16566811250461805
Autoformer,8,26,4093.1951849168345,4173.125,0.20244957975593847,0.1670202050561563
Autoformer,8,27,4074.6146374117943,4167.1855,0.20343002486188266,0.16804411895422178
Autoformer,8,28,4060.412955204133,4143.4443,0.2078846061891958,0.17269638881368748
Autoformer,8,29,4045.7009545110886,4141.9673,0.20829643504526785,0.17312640428310913
Autoformer,8,30,4024.921037046371,4126.605,0.2118461549829067,0.17683370799445874
Autoformer,9,1,7501.110578377016,6183.2954,-0.046365992863590666,-0.09832615651141711
Autoformer,9,2,6338.997322328629,5866.332,0.017326472376261948,-0.03147081542802573
Autoformer,9,3,6014.677665070564,5688.891,0.05228799241637816,0.005226395956271033
Autoformer,9,4,5817.7590788810485,5538.185,0.0803462382027128,0.03467770851533915
Autoformer,9,5,5656.707217111895,5391.649,0.10682060183512121,0.06246586381776688
Autoformer,9,6,5508.004782006048,5242.9824,0.13329323131750626,0.09025195263847843
Autoformer,9,7,5329.6383111769155,5095.507,0.1582680829645151,0.11646568631025889
Autoformer,9,8,5190.246530052923,4980.868,0.17734554276910686,0.13648929949214345
Autoformer,9,9,5087.983696131552,4907.286,0.18891624411179464,0.14863364973576554
Autoformer,9,10,5003.18197297127,4857.4985,0.19620299171421562,0.15628161213764785
Autoformer,9,11,4949.34937468498,4833.279,0.19974555862059107,0.1599998221833543
Autoformer,9,12,4898.647408959173,4827.578,0.19965425185197094,0.15990359618226022
Autoformer,9,13,4846.781098790322,4816.7686,0.20039262277277825,0.16067847498920426
Autoformer,9,14,4811.620666897681,4819.1953,0.1989234207138737,0.1591361051499317
Autoformer,9,15,4778.737918976814,4817.0103,0.1985214748975943,0.15871413685862654
