model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
Autoformer_1,1,1,619.7916181995023,387.55746,-0.029863390740752838
Autoformer_1,1,2,533.3228412259009,367.63052,0.02308879933923469
Autoformer_1,1,3,512.1760930707378,360.12503,0.043033113726087646
Autoformer_1,1,4,501.95347009474233,355.6583,0.05490264653100907
Autoformer_1,1,5,495.5472228511687,351.9679,0.06470935482370632
Autoformer_1,1,6,491.37384166102254,349.55164,0.07113013708108817
Autoformer_1,1,7,486.60958803238407,347.35544,0.0769660650580839
Autoformer_1,1,8,483.74324941327495,345.22824,0.08261879798800198
Autoformer_1,1,9,481.33375539472024,343.67072,0.08675755776619021
Autoformer_1,1,10,478.94633976105723,341.633,0.09217254667591923
Autoformer_1,1,11,477.25714017806513,339.9226,0.09671764677777794
Autoformer_1,1,12,475.3091498590285,337.91153,0.10206167142495215
Autoformer_1,1,13,473.6753455377394,336.7374,0.10518162717280144
Autoformer_1,1,14,472.31119192800213,335.77112,0.10774932583120822
Autoformer_1,1,15,470.61605111399007,334.68643,0.11063173410432392
Autoformer_1,1,16,469.9823199856666,333.8132,0.11295219706764181
Autoformer_1,1,17,469.23746298513106,333.61313,0.11348383380884841
Autoformer_1,1,18,468.00392593876006,332.94424,0.11526125229149997
Autoformer_1,1,19,466.7725375759986,332.31827,0.11692456859993638
Autoformer_1,1,20,466.26517506261024,332.051,0.11763489779702685
Autoformer_1,1,21,466.24188685263357,331.7841,0.11834411827119029
Autoformer_1,1,22,465.8331236808531,331.8873,0.11806996723817365
Autoformer_1,1,23,464.65677583755985,331.28067,0.11968177953419978
Autoformer_1,1,24,464.44024382560485,331.07297,0.12023386991459484
Autoformer_1,1,25,463.7354219005954,331.1813,0.11994594631809019
Autoformer_1,1,26,463.4441157187185,331.18405,0.11993866241833528
Autoformer_1,1,27,463.49434917819116,330.92752,0.12062040082996561
Autoformer_1,1,28,462.8338601389239,330.3441,0.1221706299190155
Autoformer_1,1,29,461.6890309979839,330.37622,0.1220852568427866
Autoformer_1,1,30,462.41277623330393,330.52463,0.12169098373820464
Autoformer_2,1,1,646.5961116667717,420.69232,-0.006567751148701673
Autoformer_2,1,2,571.487643038842,403.6147,0.03429312539353635
Autoformer_2,1,3,549.8940103838521,398.10876,0.047466868252783456
Autoformer_2,1,4,538.916368250693,394.62863,0.055793504966531904
Autoformer_2,1,5,533.9691936862084,392.0771,0.06189846235642604
Autoformer_2,1,6,529.0960899599137,390.35712,0.06601374150214945
Autoformer_2,1,7,526.8571172898816,389.41516,0.06826748258543158
Autoformer_2,1,8,521.9858932495117,388.48608,0.07049039592854012
Autoformer_2,1,9,521.4320963213521,387.9472,0.07177972775471564
Autoformer_2,1,10,517.9695691508632,387.05557,0.07391303910624825
Autoformer_2,1,11,517.601239456669,386.7384,0.0746720239516534
Autoformer_2,1,12,516.8361527965915,386.16907,0.0760342613349535
Autoformer_2,1,13,514.2205076156124,385.99124,0.07645969083374504
Autoformer_2,1,14,513.3438316591324,385.44727,0.07776125589133076
Autoformer_2,1,15,512.8366176482169,386.15747,0.07606201212810049
Autoformer_2,1,16,512.2600444178428,385.8046,0.07690625786300631
Autoformer_2,1,17,511.0266390892767,385.72714,0.07709160053228248
Autoformer_2,1,18,511.1085166685043,386.46643,0.07532274497708968
Autoformer_2,1,19,509.2282439201109,385.76654,0.0769973284266916
Autoformer_2,1,20,509.32442750007874,385.26816,0.0781897456033942
Autoformer_2,1,21,508.4535694737588,386.71518,0.07472759051253508
Autoformer_2,1,22,507.8677276611328,386.4618,0.07533392855879795
Autoformer_2,1,23,507.1796113044985,387.10495,0.07379504894789224
Autoformer_2,1,24,506.4214341686618,386.8688,0.07435998698198698
Autoformer_2,1,25,506.3130045244771,386.93967,0.07419046912053795
Autoformer_2,1,26,505.6148728893649,386.27017,0.07579244787772044
Autoformer_2,1,27,505.38381830030875,386.48053,0.07528904681834592
Autoformer_2,1,28,504.65961451376637,388.57745,0.07027179221864166
Autoformer_2,1,29,504.322413586032,387.1877,0.07359700928915047
Autoformer_2,1,30,504.1148937594506,386.62354,0.0749468403184379
Autoformer_3,1,1,781.7921866140058,481.9197,-0.09104212662663724
Autoformer_3,1,2,623.2811983170047,450.15958,-0.01913876512113677
Autoformer_3,1,3,595.0091837236959,439.49768,0.0049991689087003355
Autoformer_3,1,4,579.2831386443107,433.47012,0.018645188510735156
Autoformer_3,1,5,571.162937484249,429.66797,0.027253163940539782
Autoformer_3,1,6,562.8062945950415,426.7358,0.033891396666354545
Autoformer_3,1,7,557.609164428711,424.37103,0.03924512080503617
Autoformer_3,1,8,553.0435954432334,423.02344,0.04229600820391277
Autoformer_3,1,9,551.1171001803491,421.17334,0.04648464753167447
Autoformer_3,1,10,547.9691459409652,419.9482,0.04925820960794214
Autoformer_3,1,11,546.325889292071,419.14395,0.05107897702021558
Autoformer_3,1,12,545.1240010415354,418.43567,0.052682627622788525
Autoformer_3,1,13,543.1613317181988,418.36853,0.05283458776011363
Autoformer_3,1,14,541.7741104125977,417.93124,0.05382454146514626
Autoformer_3,1,15,541.1591177663496,417.36057,0.05511656334666348
Autoformer_3,1,16,540.3953366187311,416.90518,0.056147359691891
Autoformer_3,1,17,539.119894753733,416.96115,0.05602073970279298
Autoformer_3,1,18,538.2187688027659,416.41705,0.057252554635288444
Autoformer_3,1,19,538.2638745215631,416.78625,0.05641677995449268
Autoformer_3,1,20,536.6452582082441,417.89304,0.053911039958478124
Autoformer_3,1,21,535.7813370243196,417.59082,0.05459523088659313
Autoformer_3,1,22,535.3016401229366,417.6919,0.05436644070096375
Autoformer_3,1,23,535.3024539578346,417.7045,0.05433798565491432
Autoformer_3,1,24,534.2469412526776,418.37305,0.05282427476173046
Autoformer_3,1,25,534.217630398658,418.7629,0.051941737150883904
