model,pred_len,epoch,train_loss,val_loss,r2_val,r2_val_sklearn
FEDformer,12,1,16688.148786272322,13209.159,0.10291794106790486,0.07881087514319994
FEDformer,12,2,14713.773716517857,12962.927,0.12180775330287696,0.09821854754339093
FEDformer,12,3,14459.020751953125,12523.7295,0.15614973385649034,0.13348384801445132
FEDformer,12,4,14236.684326171875,12939.208,0.11566471092621544,0.09191658922610506
FEDformer,12,5,14087.133754185268,12839.239,0.12021490406976643,0.09658727314181531
FEDformer,12,6,14139.207275390625,12679.685,0.13566554825759436,0.11245542682739273
FEDformer,12,7,13797.225202287946,12693.558,0.13467128483480484,0.11145967355774083
FEDformer,12,8,13641.674630301339,12779.088,0.1255576452362821,0.10208043975081281
FEDformer,12,9,13291.3515625,12475.636,0.14832623785822663,0.1254649764447006
FEDformer,12,10,12982.764857700893,11827.281,0.20519546823281165,0.1838695809218743
FEDformer,12,11,12698.865269252232,11865.368,0.19936871613320784,0.17787936923632852
FEDformer,12,12,12515.138881138393,11666.023,0.2175015654863801,0.19650526368319624
FEDformer,12,13,12312.175955636161,11405.186,0.2387842630983802,0.2183577749465296
FEDformer,12,14,12145.24546595982,11120.776,0.26290787427998885,0.2431375045937996
FEDformer,12,15,12297.186349051339,11748.929,0.21176149004346845,0.1906049378978305
