model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
Autoformer_1,1,1,50723.307585685485,45158.88,0.017759745338951527
Autoformer_1,1,2,49323.89875252016,43548.43,0.0527881617060495
Autoformer_1,1,3,47655.4349483367,42586.08,0.0737199633384743
Autoformer_1,1,4,46679.78071446573,42106.996,0.0841404589270136
Autoformer_1,1,5,46024.66264490927,41813.773,0.09051825080318565
Autoformer_1,1,6,45673.79151965726,41546.24,0.09633734099920666
Autoformer_1,1,7,45378.954448084674,41436.566,0.0987227221551551
Autoformer_1,1,8,45254.90417086693,41411.44,0.09926930172116799
Autoformer_1,1,9,45078.929782006046,41297.355,0.10175071825316029
Autoformer_1,1,10,45019.45882686492,41212.164,0.10360379692384558
Autoformer_1,1,11,44810.476530997985,41241.242,0.10297117870891215
Autoformer_1,1,12,44733.7437626008,41229.957,0.10321672272480498
Autoformer_1,1,13,44693.710969002015,41177.73,0.1043526960836264
Autoformer_1,1,14,44351.29479586693,41193.16,0.10401694107201731
Autoformer_1,1,15,44449.642294606856,41138.332,0.10520958125216218
Autoformer_1,1,16,44412.077116935485,41054.273,0.10703795984381981
Autoformer_1,1,17,44232.88293850807,41049.195,0.1071484143206618
Autoformer_1,1,18,44183.82591985887,41058.965,0.10693583664597428
Autoformer_1,1,19,44193.24171496976,41093.977,0.10617438510232535
Autoformer_1,1,20,44143.02554813508,41078.902,0.10650224407095843
Autoformer_1,1,21,44160.354838709674,41115.973,0.1056961461681376
Autoformer_1,1,22,43976.085905997985,41060.88,0.10689436805780805
Autoformer_1,1,23,43981.946982106856,41087.145,0.10632302839877461
Autoformer_1,1,24,43950.05610509073,41120.19,0.10560422753196796
Autoformer_1,1,25,43810.32409274193,41116.94,0.1056749431319336
Autoformer_1,1,26,43746.94146925403,41178.723,0.10433120124464412
Autoformer_1,1,27,43812.829448084674,41200.105,0.10386607381821733
Autoformer_1,1,28,43693.79309475807,41131.766,0.10535253596379801
Autoformer_1,1,29,43606.1037046371,41126.477,0.10546744980360212
Autoformer_1,1,30,43509.37824470766,41190.62,0.10407233360675305
Autoformer_2,1,1,50548.04643397177,44795.586,0.025661506851500704
Autoformer_2,1,2,49285.59456905242,43819.547,0.046891113194664547
Autoformer_2,1,3,48130.46462323589,42963.08,0.06551994691605434
Autoformer_2,1,4,46983.395224294356,42388.62,0.0780149109310867
Autoformer_2,1,5,46651.21956905242,42164.64,0.08288656800611582
Autoformer_2,1,6,46194.71276461693,42055.43,0.08526206031652239
Autoformer_2,1,7,45931.185893397174,41809.984,0.09060064804011492
Autoformer_2,1,8,45716.56461063508,41810.188,0.09059628814077503
Autoformer_2,1,9,45596.4935420867,41608.48,0.0949835876862527
Autoformer_2,1,10,45351.73078377016,41557.992,0.09608178769781639
Autoformer_2,1,11,45273.98491053427,41502.883,0.0972803717569869
Autoformer_2,1,12,45064.21459173387,41385.715,0.09982894820601829
Autoformer_2,1,13,44978.182900705644,41477.664,0.09782896512599026
Autoformer_2,1,14,44863.0247920867,41364.535,0.10028958769510032
Autoformer_2,1,15,44737.6681577621,41390.02,0.09973519476599091
Autoformer_2,1,16,44738.1279296875,41412.297,0.09925070957633142
Autoformer_2,1,17,44545.9867061492,41430.89,0.09884623619428756
