model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
FEDformer_8,1,1,50869.216839334236,61679.746,-0.00018500179640534853
FEDformer_8,1,2,50182.731487771736,61547.285,0.0019629855402326646
FEDformer_8,1,3,49670.3271484375,61470.3,0.003211334959143941
FEDformer_8,1,4,50012.840056046196,62146.44,-0.007752954952214397
FEDformer_8,1,5,50933.25089164402,61669.438,-1.778909226479719e-05
FEDformer_8,1,6,49641.61638077446,61641.37,0.0004373316811244754
FEDformer_8,1,7,49476.46637228261,61609.65,0.0009516473526347546
FEDformer_8,1,8,49289.79020889946,61555.863,0.0018237846850104322
FEDformer_8,1,9,49175.595915421196,61483.348,0.0029996973119202908
FEDformer_8,1,10,49041.09926970109,61336.9,0.005374509368225033
FEDformer_8,1,11,48831.715862771736,61229.254,0.007120094260234744
FEDformer_8,1,12,48812.13226052989,61160.914,0.008228275692971687
FEDformer_8,1,13,48761.49609375,61112.62,0.009011440294756645
FEDformer_8,1,14,48552.951129415764,60963.64,0.011427194886299508
FEDformer_8,1,15,48421.304093070656,60780.203,0.014401881735272015
FEDformer_9,1,1,50701.29971976902,61003.21,0.00835190196186486
FEDformer_9,1,2,49440.640412703804,60267.703,0.020308159688551042
FEDformer_9,1,3,48611.32804008152,60226.375,0.02097986122157336
FEDformer_9,1,4,50930.23102072011,60227.035,0.0209691431492669
FEDformer_9,1,5,48688.074261209236,59679.363,0.02987197243295936
FEDformer_9,1,6,47510.15323539402,59123.676,0.03890505350624751
FEDformer_9,1,7,46999.562882133156,58654.16,0.04653734776519158
FEDformer_9,1,8,46332.42162024457,58273.684,0.05272217707176896
FEDformer_9,1,9,45979.01048743207,57891.926,0.058927921365781066
FEDformer_9,1,10,45687.982549252716,57665.953,0.06260133198351703
FEDformer_9,1,11,46319.042204483696,58661.36,0.046420353241581
FEDformer_9,1,12,46905.56029211957,58053.223,0.056305988074298874
FEDformer_9,1,13,45696.2802734375,57572.51,0.06412021833094528
FEDformer_9,1,14,45437.30434782609,57604.21,0.0636049713132536
FEDformer_9,1,15,45506.10287873641,57330.465,0.06805491643380679
FEDformer_10,1,1,50851.45100203804,60711.176,0.013099213991288772
FEDformer_10,1,2,48821.67132302989,59912.816,0.026077022640676684
FEDformer_10,1,3,47997.040251358696,59473.797,0.033213632895617295
FEDformer_10,1,4,47599.15421195652,58763.887,0.04475366870617148
FEDformer_10,1,5,47246.03702445652,59324.46,0.03564125707982202
FEDformer_10,1,6,48067.363875679344,58693.324,0.045900709737984546
FEDformer_10,1,7,47124.023819633156,58631.92,0.046898908550918605
FEDformer_10,1,8,46435.7099609375,57972.56,0.05761723098434979
FEDformer_10,1,9,45964.83462126359,57947.38,0.058026506308932246
FEDformer_10,1,10,45756.381538722824,57534.797,0.06473331597794219
FEDformer_10,1,11,45579.02415930707,57496.566,0.06535470414196398
FEDformer_10,1,12,45211.655230978264,57378.047,0.06728146156240289
FEDformer_10,1,13,45197.64801290761,57243.45,0.06946929070522767
FEDformer_10,1,14,45087.336531929344,57000.547,0.07341795051166833
FEDformer_10,1,15,45091.79916779891,57128.684,0.07133489330254372
FEDformer_11,1,1,50176.32668138587,60411.816,0.017965404755773018
FEDformer_11,1,2,49068.678753396736,59835.816,0.027328681198820926
FEDformer_11,1,3,47887.114215353264,58709.39,0.045639483859159724
FEDformer_11,1,4,46631.157269021736,58265.098,0.05286178459862978
FEDformer_11,1,5,46626.73959748641,57979.676,0.057501509463007916
FEDformer_11,1,6,45778.24575407609,57504.664,0.0652230507749133
FEDformer_11,1,7,45279.278999660324,57217.06,0.06989845103124115
FEDformer_11,1,8,44879.380477241844,56816.934,0.07640272460267328
FEDformer_11,1,9,44677.147418478264,56685.402,0.07854078588981683
FEDformer_11,1,10,44402.680069633156,56744.84,0.07757459070177919
FEDformer_11,1,11,44424.031037703804,56607.66,0.07980458286603775
FEDformer_11,1,12,44229.13629415761,56371.203,0.08364830529482681
FEDformer_11,1,13,44035.446968410324,56982.12,0.07371743805886832
FEDformer_11,1,14,45460.04929517663,56911.96,0.0748580418048056
FEDformer_11,1,15,44452.565217391304,56498.953,0.08157161321773454
FEDformer_12,1,1,50223.95596976902,60180.12,0.021731909594623233
FEDformer_12,1,2,52743.2734375,60841.5,0.010980618577914658
FEDformer_12,1,3,51030.45456861413,60592.562,0.015027290657452785
FEDformer_12,1,4,49389.86175271739,60393.266,0.018266873968070585
FEDformer_12,1,5,48788.184358016304,60326.625,0.01935025219210529
FEDformer_12,1,6,48556.908797554344,60088.016,0.023228956900090747
FEDformer_12,1,7,48189.6884765625,59780.33,0.028230673374372017
FEDformer_12,1,8,47745.474609375,59585.83,0.03139251228002393
FEDformer_12,1,9,47539.816278872284,59263.688,0.03662902298838744
FEDformer_12,1,10,47412.11043648098,58959.67,0.04157111850251827
FEDformer_12,1,11,46985.02823539402,58777.074,0.044539287541863204
FEDformer_12,1,12,46536.038043478264,58478.75,0.049388792789176295
FEDformer_12,1,13,46300.68643851902,58178.56,0.054268516626490126
FEDformer_12,1,14,45908.2705078125,57876.453,0.059179568715888475
FEDformer_12,1,15,47374.84230638587,60069.1,0.023536483864600943
FEDformer_13,1,1,49848.882048233696,60323.164,0.019406596000444476
FEDformer_13,1,2,48985.28676970109,59725.652,0.029119541042023744
FEDformer_13,1,3,50673.603727921196,59745.285,0.028800390548973542
FEDformer_13,1,4,49033.29946501359,60504.16,0.016464315454512768
FEDformer_13,1,5,49055.683381453804,59759.1,0.028575736277556718
FEDformer_13,1,6,47807.00267493207,59367.4,0.03494315516963764
FEDformer_13,1,7,47353.20189368207,59012.06,0.0407194461914554
FEDformer_13,1,8,46952.32281759511,58846.785,0.04340612612972561
FEDformer_13,1,9,46650.04640794837,58603.285,0.04736428801472792
FEDformer_13,1,10,46347.881538722824,58246.016,0.053172038268274435
FEDformer_13,1,11,46064.51027513587,58096.89,0.055596062169489535
FEDformer_13,1,12,45884.25912873641,57922.94,0.0584237601822325
FEDformer_13,1,13,45744.670855978264,57771.734,0.060881712129314924
FEDformer_13,1,14,45670.886931046196,57632.875,0.06313903485543504
FEDformer_13,1,15,45456.963739809784,57528.62,0.06483381864795534
FEDformer_14,1,1,51106.0546875,61182.414,0.00601602309981264
FEDformer_14,1,2,50428.02955163043,60983.51,0.009247424038259178
FEDformer_14,1,3,49591.27955163043,60464.4,0.01768106710261097
FEDformer_14,1,4,48808.004755434784,59855.566,0.027572226040385783
FEDformer_14,1,5,47989.97690217391,59650.473,0.03090422913383306
FEDformer_14,1,6,47508.47885529891,58849.37,0.043919170625552284
FEDformer_14,1,7,46855.98297384511,58479.05,0.04993549146755227
FEDformer_14,1,8,46382.170940896736,58157.746,0.055155508295351985
FEDformer_14,1,9,47985.77645210598,60055.21,0.024328802831415253
FEDformer_14,1,10,48438.91627038043,58522.277,0.04923335764989556
FEDformer_14,1,11,49713.20287024457,60186.797,0.02219113365656622
FEDformer_14,1,12,49762.82528023098,59508.484,0.03321115760715487
FEDformer_14,1,13,48015.95923913043,58952.45,0.042244580111690744
FEDformer_14,1,14,47119.23683763587,58568.297,0.04848575589376536
FEDformer_14,1,15,46746.566193953804,58072.51,0.056540158530625995
FEDformer_15,1,1,50562.87198539402,60853.54,0.011359009297105427
FEDformer_15,1,2,49125.42824388587,60128.46,0.0231387375970471
FEDformer_15,1,3,48372.659222146736,60043.49,0.02451920235105931
FEDformer_15,1,4,48609.8095703125,59072.402,0.040295792472162084
FEDformer_15,1,5,46770.882854959236,58406.375,0.05111618412464314
FEDformer_15,1,6,46372.38824728261,58416.26,0.05095552808274395
FEDformer_15,1,7,47684.89313009511,58554.09,0.048716372889865744
FEDformer_15,1,8,46372.103218410324,57816.613,0.060697552724728654
FEDformer_15,1,9,45850.044879415764,57651.254,0.06338398793681732
FEDformer_15,1,10,45248.80787194293,57406.727,0.0673566735931923
FEDformer_15,1,11,45014.31585427989,57258.34,0.06976743067763069
FEDformer_15,1,12,46765.00641134511,57770.324,0.06144961682163397
FEDformer_15,1,13,45417.591117527176,57264.81,0.06966234712284347
FEDformer_15,1,14,44936.55443274457,57052.887,0.07310540608061866
FEDformer_15,1,15,44678.820524796196,56801.89,0.07718307397112556
FEDformer_16,1,1,51193.83079993207,60697.42,0.013895277544803908
FEDformer_16,1,2,49926.020720108696,60747.316,0.01308473642117014
FEDformer_16,1,3,49308.67399796196,59884.215,0.02710680086175088
FEDformer_16,1,4,47719.322944972824,59115.938,0.039588431575343086
FEDformer_16,1,5,47070.096382472824,58791.42,0.04486084161151915
FEDformer_16,1,6,47113.45847486413,58730.0,0.045858516845996844
FEDformer_16,1,7,46817.623259171196,58111.836,0.055901343165179584
FEDformer_16,1,8,45778.391644021736,57640.754,0.06355462859863226
FEDformer_16,1,9,45501.60580842391,57355.723,0.06818547200413849
FEDformer_16,1,10,45287.48119055707,57213.566,0.07049479975978745
FEDformer_16,1,11,45130.96964164402,57192.887,0.07083072495100196
FEDformer_16,1,12,45100.98479959239,56995.37,0.07403978718558368
FEDformer_16,1,13,44812.0537109375,57054.1,0.07308557657469217
FEDformer_16,1,14,45228.369098165764,57077.65,0.07270301967060189
FEDformer_16,1,15,45051.88744055707,56861.137,0.07622051332004054
FEDformer_17,1,1,51648.36379076087,61158.652,0.006402040428789002
FEDformer_17,1,2,50127.499872622284,60836.04,0.01164334719001836
FEDformer_17,1,3,49850.304093070656,60603.234,0.01542549049292452
FEDformer_17,1,4,49416.108271059784,60331.777,0.019835660688454437
FEDformer_17,1,5,49213.07884680707,60441.99,0.018045137173922754
FEDformer_17,1,6,48327.980426290764,59746.71,0.029340833515944964
FEDformer_17,1,7,47782.449515964676,59384.426,0.03522657146888275
