model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
HFformer,1,1,134777.1426501274,29678.203353881836,-0.016577850889151202
HFformer,1,2,131651.71987128258,29377.780256271362,-0.006287349073557991
HFformer,1,3,130584.31134164333,29293.84107017517,-0.0034121532546216304
HFformer,1,4,130275.2647010088,29262.00461578369,-0.0023216576025435476
HFformer,1,5,130085.40790206194,29242.23989868164,-0.0016446399601568462
HFformer,1,6,129919.97585868835,29227.739603042603,-0.001147953204398533
HFformer,1,7,129877.01478755474,29216.219844818115,-0.0007533665014274327
HFformer,1,8,129846.26824581623,29205.897666931152,-0.00039979149426083715
HFformer,1,9,129741.72143518925,29195.5910987854,-4.676586936525062e-05
HFformer,1,10,129688.35463380814,29183.905075073242,0.0003535261753858654
HFformer,1,11,129599.53812396526,29169.833669662476,0.0008355214585534787
HFformer,1,12,129516.88326215744,29151.65828704834,0.0014580861782190757
HFformer,1,13,129407.84484815598,29126.87413597107,0.002307023016893228
HFformer,1,14,129274.99641507864,29092.013803482056,0.0035011098643021876
HFformer,1,15,129107.71715646982,29038.91787147522,0.005319819008198001
HFformer,1,16,128826.69641214609,28956.78615951538,0.008133107351429247
HFformer,1,17,128411.23079514503,28835.36029434204,0.012292349553426507
HFformer,1,18,127889.6669396162,28683.58162689209,0.01749127430006847
HFformer,1,19,127204.840534091,28499.67166519165,0.023790802971522917
HFformer,1,20,126442.52628564835,28287.654176712036,0.031053110828924813
HFformer,1,21,125616.66445660591,28045.30982017517,0.0393542233676365
HFformer,1,22,124693.68861734867,27801.561725616455,0.04770341151158897
HFformer,1,23,123765.36336541176,27576.44669532776,0.05541435542688833
HFformer,1,24,122979.23356842995,27373.849449157715,0.062353983715155326
HFformer,1,25,122165.32325673103,27187.067428588867,0.06875190067388137
HFformer,1,26,121522.85342812538,27010.289344787598,0.07480714174969261
HFformer,1,27,120858.63921403885,26849.748641967773,0.08030619643759829
HFformer,1,28,120243.5573515892,26701.528747558594,0.08538322314968771
HFformer,1,29,119703.03897285461,26560.78655052185,0.09020412030673985
