model,pred_len,test_loss,r2_val_sklearn,correct_buys,total_buys,correct_sells,total_sells,correct_holds,total_holds
LSTM_MO,1,6544.03012443291,-2.338421315294484,16022,40404,24095,39515,0,0
LSTM_MO,1,8079.301735283791,-2.50452415308691,19028,40313,24196,39135,0,470
LSTM_MO,1,6928.728449262172,-1.7576093102881747,20057,40411,25596,39474,0,32
LSTM_MO,1,6699.14795774141,-1.5224347471319937,20325,40193,27028,39705,0,18
LSTM_MO,1,6603.4843694691635,-1.3888552222499007,21635,40188,27683,39724,0,4
LSTM_MO,1,5883.620309914102,-1.061261195777718,21883,40107,27993,39807,0,1
LSTM_MO,1,5656.305357348098,-0.9291746386920681,23204,40206,28731,39708,0,0
LSTM_MO,1,5777.954428481896,-0.9265059215207276,23159,40111,28323,39801,0,1
LSTM_MO,1,6030.136563089041,-0.97017782857363,23044,40115,29009,39797,0,0
LSTM_MO,1,5019.416061708381,-0.6100839509820193,24039,40102,29533,39810,0,0
LSTM_MO,1,5606.101018199402,-0.768197233337397,24413,40031,29830,39880,0,0
LSTM_MO,1,8682.767235757912,-1.6925736781174217,23429,39963,29385,39947,0,0
LSTM_MO,1,5410.755851683225,-0.6508490270030765,25369,39928,28314,39980,0,1
LSTM_MO,1,9339.462557756753,-1.8051516104563188,18250,39850,31405,40057,0,1
LSTM_MO,1,6290.677800794616,-0.860017925444581,24177,39785,30276,40123,0,0
LSTM_MO,1,9069.68594414412,-1.6422894263886092,22957,39773,31675,40134,0,0
LSTM_MO,1,4463.620282581403,-0.28240876129888415,21727,39764,32117,40142,0,0
LSTM_MO,1,6127.140917608965,-0.7372933401184418,21209,39748,31642,40157,0,0
LSTM_MO,1,8294.733851125613,-1.3218526240970832,17082,39675,33630,40229,0,0
LSTM_MO,1,7056.556534009607,-0.9513124529492123,21059,39683,31642,40221,0,0
LSTM_MO,1,4294.3968221193545,-0.17355289700343657,23623,39630,30388,40273,0,0
LSTM_MO,1,4395.182639504268,-0.18768523093584943,25069,39590,30348,40312,0,0
LSTM_MO,1,4142.568811792697,-0.10772990314639852,27267,39538,28764,40363,0,0
LSTM_MO,1,5184.642870288518,-0.37293345447416604,22273,39482,29972,40418,0,0
LSTM_MO,1,5571.592469376842,-0.4619111103761213,22274,39436,30761,40464,0,0
LSTM_MO,1,4354.390123311203,-0.1325558583541151,21121,39423,30292,40476,0,0
LSTM_MO,1,4251.478382684432,-0.09645757125086285,26421,39396,28511,40502,0,0
LSTM_MO,1,5266.684140314194,-0.3474845995153879,27624,39316,26604,40581,0,0
LSTM_MO,1,4704.052739586527,-0.1945312960543535,23328,39257,30072,40639,0,0
LSTM_MO,1,4028.272179021058,-0.01583827733919918,25555,39186,28012,40710,0,0
