model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
Transformer_encdec_1,1,1,123711.68483924866,24651.08322906494,-0.37447641744210536
Transformer_encdec_1,1,2,112416.51397514343,21840.74984741211,-0.21777998715938374
Transformer_encdec_1,1,3,102272.57350349426,20000.435619354248,-0.11516913378432059
Transformer_encdec_1,1,4,95226.76519012451,19184.69751548767,-0.0696858198617123
Transformer_encdec_1,1,5,90417.9040145874,18973.90744781494,-0.057932756538093155
Transformer_encdec_1,1,6,86622.53001403809,19051.225566864014,-0.06224379687447601
Transformer_encdec_1,1,7,83256.73155212402,19271.99970817566,-0.07455355890621473
Transformer_encdec_1,1,8,80064.98790073395,19573.393840789795,-0.09135845783043584
Transformer_encdec_1,1,9,76903.16973400116,19934.11828994751,-0.11147146210316583
Transformer_encdec_1,1,10,73682.76738262177,20355.245445251465,-0.13495234658299093
Transformer_encdec_1,1,11,70348.86188220978,20852.390073776245,-0.16267176506624903
Transformer_encdec_1,1,12,66865.8502368927,21446.165985107422,-0.19577907218958246
Transformer_encdec_1,1,13,63212.68510341644,22161.44019317627,-0.23566078821030167
Transformer_encdec_1,1,14,59380.83845901489,23027.1870803833,-0.2839324389205964
Transformer_encdec_1,1,15,55375.76001930237,24076.506034851074,-0.3424395705490657
Transformer_encdec_1,1,16,51218.38283061981,25343.145259857178,-0.4130638820728285
Transformer_encdec_1,1,17,46946.45250034332,26862.108989715576,-0.4977571085228327
Transformer_encdec_1,1,18,42616.54458332062,28666.983154296875,-0.5983919214067248
Transformer_encdec_1,1,19,38299.805537223816,30785.38224029541,-0.7165080030611506
Transformer_encdec_1,1,20,34084.55662250519,33228.1237487793,-0.8527085405601691
Transformer_encdec_1,1,21,30069.837201595306,35983.74882507324,-1.0063545992375649
Transformer_encdec_1,1,22,26362.19973039627,39006.444175720215,-1.1748917483528079
Transformer_encdec_1,1,23,23063.034078121185,42216.90463256836,-1.353898187118308
Transformer_encdec_1,1,24,20251.591997146606,45488.49670410156,-1.5363131247565778
Transformer_encdec_1,1,25,17969.08810853958,48671.27934265137,-1.713776312516702
Transformer_encdec_1,1,26,16207.61417722702,51614.06964111328,-1.8778581897055577
Transformer_encdec_1,1,27,14910.524430513382,54187.04537963867,-2.0213202216746637
Transformer_encdec_1,1,28,13986.659933567047,56325.535873413086,-2.1405565275369525
Transformer_encdec_1,1,29,13334.500787973404,58015.78857421875,-2.2348003718680496
Transformer_encdec_1,1,30,12864.19222187996,59298.38584899902,-2.306314470116574
Transformer_encdec_2,1,1,210433.8917236328,44199.2064743042,-0.1007377129663034
Transformer_encdec_2,1,2,196630.24396324158,44240.0528717041,-0.10175496941653961
Transformer_encdec_2,1,3,191251.81523895264,44396.03369140625,-0.10563950898238472
Transformer_encdec_2,1,4,184974.53235435486,44706.56072998047,-0.11337289465195677
Transformer_encdec_2,1,5,178097.55891609192,45164.22426986694,-0.12477054006459976
Transformer_encdec_2,1,6,170752.77747154236,45729.23693084717,-0.13884163719700093
Transformer_encdec_2,1,7,162922.81456947327,46364.70811843872,-0.15466741250781402
Transformer_encdec_2,1,8,154521.00689315796,47056.63628387451,-0.17189919349076255
Transformer_encdec_2,1,9,145465.2742729187,47814.63808441162,-0.1907764881593732
Transformer_encdec_2,1,10,135722.2447128296,48668.482818603516,-0.21204065007911654
Transformer_encdec_2,1,11,125324.41123008728,49661.90190124512,-0.23678076852446228
Transformer_encdec_2,1,12,114391.96662712097,50848.03733062744,-0.2663203172330648
Transformer_encdec_2,1,13,103140.03141784668,52275.46343231201,-0.3018689540446502
Transformer_encdec_2,1,14,91866.4271850586,53980.391693115234,-0.3443285132924747
Transformer_encdec_2,1,15,80916.9938659668,55980.68044281006,-0.39414373822921633
Transformer_encdec_2,1,16,70634.31867218018,58265.66456604004,-0.45104901754569515
Transformer_encdec_2,1,17,61315.84646606445,60791.21327209473,-0.5139453250508035
Transformer_encdec_2,1,18,53192.67180633545,63491.25881958008,-0.5811872967420586
Transformer_encdec_2,1,19,46413.0015668869,66260.84297180176,-0.6501610590391378
Transformer_encdec_2,1,20,41023.09041643143,68980.09451293945,-0.717881353079586
Transformer_encdec_2,1,21,36955.72472906113,71518.22941589355,-0.7810910993214539
Transformer_encdec_2,1,22,34025.889723300934,73751.55053710938,-0.8367097649050776
Transformer_encdec_2,1,23,31969.840309143066,75596.05389404297,-0.8826453113773205
Transformer_encdec_2,1,24,30516.215900421143,77038.55401611328,-0.9185693374328825
Transformer_encdec_2,1,25,29444.101043224335,78111.46685791016,-0.9452891946588786
Transformer_encdec_2,1,26,28602.576012134552,78883.24574279785,-0.9645095587451722
Transformer_encdec_2,1,27,27900.097695827484,79424.1517791748,-0.9779803114705357
Transformer_encdec_2,1,28,27285.2099108696,79800.00311279297,-0.987340502674827
Transformer_encdec_2,1,29,26729.968327760696,80059.76895141602,-0.9938097316090106
Transformer_encdec_2,1,30,26218.80446243286,80243.11862182617,-0.9983758760352
Transformer_encdec_3,1,1,410030.3853530884,80027.10971069336,-0.25036458349875423
Transformer_encdec_3,1,2,413021.3072128296,75290.9203491211,-0.17636511893994045
Transformer_encdec_3,1,3,388141.49071502686,70915.93148803711,-0.10800914816864382
Transformer_encdec_3,1,4,363004.33572769165,67669.2679977417,-0.05728241366362452
Transformer_encdec_3,1,5,339792.16482162476,65845.40489196777,-0.028785909130975895
Transformer_encdec_3,1,6,318948.2394332886,65204.385498046875,-0.01877045282913259
Transformer_encdec_3,1,7,299911.64610671997,65393.03282165527,-0.02171792360285507
Transformer_encdec_3,1,8,282073.2068519592,66150.3010559082,-0.0335496865992444
Transformer_encdec_3,1,9,264987.17066192627,67301.46067810059,-0.051535702180287135
Transformer_encdec_3,1,10,248280.6999359131,68720.34828186035,-0.07370476989010699
Transformer_encdec_3,1,11,231616.52111053467,70310.96438598633,-0.09855697793191487
Transformer_encdec_3,1,12,214730.38845062256,72005.29428863525,-0.12502963559261193
Transformer_encdec_3,1,13,197483.45585250854,73772.05515289307,-0.15263397795153977
