model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
HFformer,11,1,1341768.6401062012,257921.69366455078,-0.00234966028543937
HFformer,11,2,1341390.0272159576,257999.40824890137,-0.0026516710080504158
HFformer,11,3,1340798.3976402283,258071.88244247437,-0.00293332583800332
HFformer,11,4,1340522.7037525177,258153.19896316528,-0.0032493432470845907
HFformer,11,5,1340456.3891296387,258241.89248657227,-0.003594031559209121
HFformer,11,6,1340204.1144676208,258394.54902648926,-0.004187295008082348
HFformer,11,7,1339826.505247116,258316.34507751465,-0.0038833728234368703
HFformer,11,8,1339547.8631706238,258362.26110076904,-0.004061807855460842
HFformer,11,9,1339432.8785648346,258223.53741836548,-0.003522691130976696
HFformer,11,10,1338861.3055267334,258248.92274856567,-0.0036213609598720886
HFformer,11,11,1338528.8869743347,258223.04649353027,-0.0035207883492518466
HFformer,11,12,1338148.887851715,258185.13357162476,-0.00337344793264438
HFformer,11,13,1337975.239189148,258115.2428779602,-0.0031018396083686284
HFformer,11,14,1337284.8391094208,258102.74905014038,-0.00305327286318291
HFformer,11,15,1337242.0329208374,258131.0093269348,-0.0031631087458412477
HFformer,11,16,1336827.8516082764,258213.909160614,-0.0034852852205060625
HFformer,11,17,1335964.7483348846,258227.6735610962,-0.0035387743252259796
HFformer,11,18,1335531.7310390472,258273.77000427246,-0.0037179131948061883
HFformer,11,19,1335191.2995853424,258383.6766242981,-0.004145044939132481
HFformer,11,20,1334678.9533061981,258490.5460548401,-0.0045603599270294115
HFformer,11,21,1333477.4718551636,258593.38905334473,-0.004960030694468154
HFformer,11,22,1332562.009311676,258808.467792511,-0.0057958897525960396
HFformer,11,23,1332110.8252887726,259012.61220932007,-0.006589243110924459
HFformer,11,24,1330529.4727153778,259039.54063796997,-0.006693898255480946
HFformer,11,25,1329262.3976364136,259305.43774795532,-0.007727239836290201
HFformer,11,26,1327290.5270500183,259628.68395996094,-0.008983457521452909
HFformer,11,27,1325322.981496811,259857.91593551636,-0.009874313410723312
HFformer,11,28,1323210.975288391,260344.14525604248,-0.0117639280183921
HFformer,11,29,1320120.2782268524,261071.24494934082,-0.01458962172097733
HFformer,11,30,1318264.989517212,261471.02291107178,-0.016143262391382196
HFformer,12,1,1479229.4439563751,283572.3067703247,-0.008075924518718303
HFformer,12,2,1475178.5022220612,282525.4507904053,-0.004354436620710445
HFformer,12,3,1473435.8908672333,282231.9524822235,-0.0033110783083090123
HFformer,12,4,1472976.1475219727,282099.6502819061,-0.002840751012827436
HFformer,12,5,1472494.780172348,282104.80143737793,-0.0028590607139358237
HFformer,12,6,1472167.750284195,282076.02212142944,-0.0027567616342720758
HFformer,12,7,1471796.3804454803,282093.73178863525,-0.0028197217360701465
HFformer,12,8,1471336.6265792847,282048.1739463806,-0.0026577594328232035
HFformer,12,9,1470939.542974472,281993.91657829285,-0.002464880145708115
HFformer,12,10,1470113.0006065369,281905.28252601624,-0.0021497939386436737
HFformer,12,11,1468751.394367218,281820.80874824524,-0.0018494960489192636
HFformer,12,12,1467648.2820034027,281785.5560321808,-0.0017241789107989014
HFformer,12,13,1466123.45262146,281790.6301345825,-0.0017422146502648062
HFformer,12,14,1464487.487602234,281852.7782840729,-0.001963143287110558
HFformer,12,15,1463560.1190109253,281897.17959213257,-0.0021209869148866023
HFformer,12,16,1462816.3695411682,281800.2065792084,-0.0017762570769448427
HFformer,12,17,1461681.8343410492,281778.7114906311,-0.001699836405116395
HFformer,12,18,1460753.560956955,281676.23675346375,-0.001335551130141166
HFformer,12,19,1459791.245552063,281608.6868400574,-0.0010954258106974368
HFformer,12,20,1458618.6125068665,281723.43331336975,-0.0015033345213986138
HFformer,12,21,1457068.4848747253,281798.8130645752,-0.0017713080099746037
HFformer,12,22,1455672.0424633026,281768.68951416016,-0.0016642126196306783
HFformer,12,23,1454221.691625595,282123.4551048279,-0.002925383212762478
HFformer,12,24,1453492.0882072449,282193.85164260864,-0.0031756300853056363
