model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
HFformer,1,1,9650.711772561073,3738.070200920105,-0.0015793335350817728
HFformer,1,2,9265.174900442362,3728.1212644577026,0.0010863843393451589
HFformer,1,3,9193.669120013714,3699.105634689331,0.008860849820654937
HFformer,1,4,9058.062736809254,3665.5799112319946,0.01784373143859941
HFformer,1,5,8910.06023991108,3551.4873180389404,0.048413725630155335
HFformer,1,6,8742.112755715847,3510.5100870132446,0.059393171393894995
HFformer,1,7,8641.942443072796,3463.3502769470215,0.07202917574487477
HFformer,1,8,8540.449871897697,3439.278896331787,0.07847886669107351
HFformer,1,9,8492.672889113426,3386.080961227417,0.09273273733641785
HFformer,1,10,8441.90128993988,3375.8539152145386,0.09547299088189032
HFformer,1,11,8409.496452212334,3361.961537361145,0.09919531340538768
HFformer,1,12,8386.486872434616,3341.2427349090576,0.10474670728770974
HFformer,1,13,8381.007271587849,3331.17466545105,0.10744435373999739
HFformer,1,14,8341.182632446289,3327.6202478408813,0.10839672587587379
HFformer,1,15,8334.015248298645,3321.5786213874817,0.11001551298574508
HFformer,1,16,8310.327539682388,3321.377890586853,0.1100693038463667
HFformer,1,17,8287.459010004997,3321.964758872986,0.10991203610835432
HFformer,1,18,8277.897104382515,3311.1036558151245,0.1128221805522438
HFformer,1,19,8274.09517621994,3324.150372028351,0.10932644018892934
HFformer,1,20,8247.822395443916,3312.091519832611,0.11255749111560276
HFformer,1,21,8255.830133080482,3308.634187221527,0.11348385334970412
HFformer,1,22,8241.634918093681,3315.0847239494324,0.11175548935990531
HFformer,1,23,8218.50159740448,3343.3333864212036,0.10418653467867822
HFformer,1,24,8218.3848387599,3319.913872718811,0.11046156972944943
HFformer,1,25,8194.704930484295,3290.8455996513367,0.11825012160418591
HFformer,2,1,10934.807277560234,4480.118430137634,-0.0024975849299533337
HFformer,2,2,10554.409688413143,4473.297901153564,-0.0009713896568650515
HFformer,2,3,10520.35212278366,4484.800992012024,-0.0035453739210744573
HFformer,2,4,10429.183756291866,4450.647914886475,0.004096911649856927
HFformer,2,5,10117.35107433796,4272.35440826416,0.043992907549113
HFformer,2,6,9838.78269213438,4210.690145492554,0.05779127697374997
HFformer,2,7,9714.747505664825,4155.176659584045,0.0702133066666969
HFformer,2,8,9629.641960144043,4116.545672416687,0.07885758167192058
HFformer,2,9,9562.27017879486,4089.6533527374268,0.08487516845359289
HFformer,2,10,9486.28222334385,4069.9604845046997,0.08928175837688168
HFformer,2,11,9427.062944889069,4027.3082752227783,0.09882587509089136
HFformer,2,12,9412.84018278122,4019.692123413086,0.10053010516277672
HFformer,2,13,9360.010466098785,4046.032781600952,0.0946359632094701
HFformer,2,14,9337.233987629414,4004.4948539733887,0.10393074764151944
HFformer,2,15,9310.55037277937,3979.6442289352417,0.10949145355612722
HFformer,2,16,9303.47497600317,3981.057792663574,0.10917515658064947
HFformer,2,17,9300.232555389404,3965.5237951278687,0.11265113178456843
HFformer,2,18,9285.818165063858,3939.190833091736,0.11854355078398193
HFformer,2,19,9267.498377501965,3939.703866958618,0.11842874754237342
HFformer,2,20,9275.40776181221,3936.3037395477295,0.11918957593307244
HFformer,2,21,9249.07808470726,3932.892213821411,0.11995297012336992
HFformer,2,22,9237.715539932251,3913.369222640991,0.12432153365417808
HFformer,2,23,9221.37197393179,3971.2796754837036,0.11136315895251792
HFformer,2,24,9221.358508646488,3931.3517990112305,0.12029764659204312
HFformer,2,25,9214.6410394907,3974.4156942367554,0.11066141961671216
HFformer,3,1,11713.810947358608,4995.553206443787,-0.002669183067835146
HFformer,3,2,11522.163380920887,4987.535462379456,-0.001059929503853363
HFformer,3,3,11459.332369208336,4966.799882888794,0.003101971994807884
HFformer,3,4,11306.423012852669,4912.181116104126,0.014064612665450449
HFformer,3,5,11074.607230246067,4835.1851053237915,0.029518673672454865
HFformer,3,6,10825.975093483925,4761.568103790283,0.04429451573499743
HFformer,3,7,10622.958618223667,4674.566785812378,0.061756749922481924
HFformer,3,8,10446.304623365402,4595.097039222717,0.0777073178667057
HFformer,3,9,10304.736890435219,4560.6726722717285,0.08461669783630366
HFformer,3,10,10231.522316396236,4528.731556892395,0.09102766929077111
HFformer,3,11,10181.174814939499,4526.365487098694,0.09150258096678332
HFformer,3,12,10152.269549250603,4524.924275398254,0.09179184420420516
HFformer,3,13,10126.697177886963,4472.83149433136,0.10224751857682779
HFformer,3,14,10070.913020253181,4483.694184303284,0.10006724500130604
HFformer,3,15,10077.22136092186,4463.270969390869,0.10416642624391204
