model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
HFformer,1,1,9867.288232505322,3735.2390241622925,-0.0008207471294603419
HFformer,1,2,9287.610081672668,3726.85253572464,0.0014263220698917944
HFformer,1,3,9257.19847947359,3720.6318035125732,0.003093125360972393
HFformer,1,4,9215.879969894886,3692.755554676056,0.010562291141151037
HFformer,1,5,9057.551503956318,3579.73122215271,0.040846045330944936
HFformer,1,6,8820.056384444237,3505.41242313385,0.06075905033377271
HFformer,1,7,8695.478889465332,3468.8799114227295,0.07054757006741885
HFformer,1,8,8612.379352986813,3431.8757429122925,0.08046248297080216
HFformer,1,9,8543.824104607105,3389.0112714767456,0.09194758730540564
HFformer,1,10,8479.701347410679,3345.728919029236,0.10354467102326581
HFformer,1,11,8449.558917045593,3329.4956283569336,0.10789422892477607
HFformer,1,12,8397.758870601654,3311.8807344436646,0.11261396094492726
HFformer,1,13,8367.862621068954,3280.1203689575195,0.12112384402485754
HFformer,1,14,8342.416555285454,3281.2882137298584,0.12081093073089066
HFformer,1,15,8335.4619307518,3265.472869873047,0.1250484979321692
HFformer,1,16,8310.287179470062,3274.150566101074,0.12272339095466533
HFformer,1,17,8286.047089457512,3280.771064758301,0.12094949705813274
HFformer,1,18,8285.541698813438,3266.8751544952393,0.1246727640013836
HFformer,1,19,8259.234631359577,3255.88702583313,0.12761692752781495
HFformer,1,20,8266.674760222435,3269.1800079345703,0.1240552116930218
HFformer,1,21,8244.73469310999,3280.6178970336914,0.12099053865194453
HFformer,1,22,8238.90196788311,3242.180513381958,0.13128945547316107
HFformer,1,23,8216.750824868679,3275.821487903595,0.12227570054404302
HFformer,1,24,8215.043429255486,3276.5921840667725,0.12206918491731689
HFformer,1,25,8195.643199324608,3286.5045680999756,0.11941325730180707
HFformer,2,1,11121.497526168823,4474.5782289505005,-0.001257872489545564
HFformer,2,2,10593.621413826942,4470.726464271545,-0.00039599815629531854
HFformer,2,3,10546.737953305244,4461.711524963379,0.0016212494137471944
HFformer,2,4,10403.389577805996,4392.12651348114,0.017192000367467264
HFformer,2,5,10111.43464821577,4303.599229812622,0.03700138493728278
HFformer,2,6,9914.639474987984,4231.840225219727,0.05305859723544393
HFformer,2,7,9766.262666225433,4157.003091812134,0.0698046123842313
HFformer,2,8,9653.681000590324,4115.888261795044,0.07900469788440756
HFformer,2,9,9580.778294980526,4070.1912517547607,0.0892301230415189
HFformer,2,10,9505.714294791222,4001.9378900527954,0.10450289478064945
HFformer,2,11,9433.172654986382,3958.0625343322754,0.1143207089851892
HFformer,2,12,9389.817527532578,3951.76805973053,0.11572919529215597
HFformer,2,13,9368.415970921516,3940.2771186828613,0.11830047523603038
HFformer,2,14,9353.171192526817,3922.6812534332275,0.1222378299883965
HFformer,2,15,9328.433143138885,3935.3354988098145,0.11940624405420597
HFformer,2,16,9297.366468191147,3931.29816532135,0.12030965715516473
HFformer,2,17,9286.011529803276,3932.118476867676,0.12012609138837638
HFformer,2,18,9269.707357168198,3927.0954370498657,0.1212500858715152
HFformer,2,19,9265.098215222359,3941.5429639816284,0.11801721847643332
HFformer,2,20,9252.418810606003,3947.961362838745,0.11658100087014933
HFformer,2,21,9236.393651008606,3923.800190925598,0.12198744485281154
HFformer,2,22,9220.395586133003,3912.3670024871826,0.12454581136804754
HFformer,2,23,9200.585881710052,3940.436628341675,0.11826477450180961
HFformer,2,24,9197.209154725075,3957.7719163894653,0.11438573447604616
HFformer,2,25,9194.728014349937,3922.5144176483154,0.12227515231933395
HFformer,3,1,11595.505433499813,4986.518738746643,-0.0008558579091837437
HFformer,3,2,11524.205951452255,4990.695010185242,-0.0016940836580627838
HFformer,3,3,11479.990708768368,4981.325218200684,0.00018653846282656872
HFformer,3,4,11326.90029847622,4905.637041091919,0.015378104675867643
HFformer,3,5,10981.3048620224,4758.601430892944,0.04488994937038837
HFformer,3,6,10634.780345797539,4689.869359970093,0.058685345105764064
HFformer,3,7,10461.014835000038,4649.801529884338,0.06672743169864437
HFformer,3,8,10354.956625699997,4567.536773681641,0.08323899297839965
HFformer,3,9,10275.593569517136,4551.703857421875,0.08641685678360644
HFformer,3,10,10230.60377728939,4532.65159034729,0.09024088629253346
HFformer,3,11,10175.04279434681,4507.43400478363,0.09530236715618268
HFformer,3,12,10146.649936079979,4464.72922039032,0.10387374070904798
HFformer,3,13,10113.84146618843,4466.286780357361,0.10356111122409772
HFformer,3,14,10082.178091168404,4452.11589717865,0.1064054078542338
HFformer,3,15,10061.455242156982,4436.931586265564,0.1094530763317546
HFformer,3,16,10038.483198165894,4446.631407737732,0.10750618977599691
HFformer,3,17,10017.807705879211,4440.235242843628,0.1087899724978647
HFformer,3,18,9981.233624458313,4408.55229473114,0.1151491525313284
HFformer,3,19,9954.689471960068,4443.593230247498,0.10811599307812314
HFformer,3,20,9958.74938249588,4451.7439041137695,0.10648004889655382
HFformer,3,21,9958.68366765976,4466.976329803467,0.1034227028559549
HFformer,3,22,9909.691971540451,4476.3807010650635,0.10153514069130987
HFformer,3,23,9916.01697063446,4428.7993087768555,0.11108531601355742
HFformer,3,24,9896.027390241623,4451.810965538025,0.10646659888024113
HFformer,3,25,9866.422588706017,4495.156069755554,0.09776670408837129
HFformer,4,1,12268.350197553635,5352.89838218689,0.007443587671899454
HFformer,4,2,12050.228609204292,5293.963738441467,0.018371482723102517
HFformer,4,3,11784.02262187004,5187.4127950668335,0.03812859298939675
HFformer,4,4,11525.489021658897,5096.191863059998,0.05504314262121146
