model,pred_len,test_loss,r2_val_sklearn,correct_buys,total_buys,correct_sells,total_sells,correct_holds,total_holds
LSTM_MO,1,41645.94887775021,-0.010725439113741686,48072,100396,64471,99523,0,0
LSTM_MO,1,45791.28779989557,-0.032735242548608934,56834,98582,66348,100258,0,1078
LSTM_MO,1,45241.79862773567,0.02489657854015026,57023,98244,72647,101608,0,65
LSTM_MO,1,47834.74233347135,-0.00017196210995606975,56120,97681,75163,102187,0,48
LSTM_MO,1,49410.61968214332,-0.011135742884291311,57167,97505,75990,102401,0,10
LSTM_MO,1,48203.61056800247,0.030199096264872716,57078,97422,77050,102490,0,3
LSTM_MO,1,48168.92480220475,0.04500547823541168,60055,97434,76749,102478,0,2
LSTM_MO,1,49857.624850647575,0.022909655954920782,58726,97559,74568,102353,0,1
LSTM_MO,1,51448.00284328119,0.000502681908578162,57211,97606,74760,102306,0,0
LSTM_MO,1,49900.76715106401,0.03758709231156521,58049,97629,75104,102283,0,0
LSTM_MO,1,50742.83850151018,0.027054465061935318,57681,97574,74599,102337,0,0
LSTM_MO,1,57906.22604652992,-0.10538847358541892,54805,97514,72512,102396,0,0
LSTM_MO,1,52490.160640324015,0.0019313225726500516,58636,97551,70270,102358,0,0
LSTM_MO,1,59622.78643154445,-0.12958155811758987,44709,97578,76787,102330,0,0
LSTM_MO,1,54492.113384416196,-0.029097499424620032,57520,97604,70087,102304,0,0
LSTM_MO,1,62361.45697227656,-0.174384845914495,51317,97701,74902,102206,0,0
LSTM_MO,1,52052.34201334375,0.022115803326187677,49358,97796,76831,102110,0,0
LSTM_MO,1,55834.11021951819,-0.04677038858537097,49902,97801,73643,102104,0,0
LSTM_MO,1,61274.87744418737,-0.14647096389052572,40078,97858,79452,102046,0,0
LSTM_MO,1,57312.81022021062,-0.07006046693434054,49210,97921,72317,101983,0,0
LSTM_MO,1,52215.87632977778,0.02720285156332025,52300,97982,70491,101921,0,0
LSTM_MO,1,52405.55694548249,0.02553812587700255,53211,98047,70658,101855,0,0
LSTM_MO,1,52397.503712007296,0.027521371057784183,60544,98191,62360,101710,0,0
LSTM_MO,1,55603.33282700183,-0.03013257249260004,48257,98206,70117,101694,0,0
LSTM_MO,1,54780.12590125595,-0.013137347614210926,55120,98151,64868,101749,0,0
LSTM_MO,1,53535.41600857493,0.011512093270799606,47902,98172,70148,101727,0,0
LSTM_MO,1,52964.8813764393,0.023388788091466717,56332,98225,63466,101673,0,0
LSTM_MO,1,56081.07569132026,-0.032713891740274725,57576,98248,59327,101649,0,0
LSTM_MO,1,54644.675531284134,-0.005056757912052401,49531,98330,69240,101566,0,0
LSTM_MO,1,52640.39141846738,0.0329137273747272,59628,98352,59109,101544,0,0
