model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
Transformer_encdec,1,1,41660.323914051056,16594.358039855957,-0.5009361110119861
Transformer_encdec,1,2,34989.116265296936,15259.104135513306,-0.38016429023043874
Transformer_encdec,1,3,32021.198767900467,14428.268497943878,-0.3050163791872167
Transformer_encdec,1,4,30036.255254983902,13824.469019889832,-0.25040358460981227
Transformer_encdec,1,5,28405.94647216797,13366.543603420258,-0.208984885876921
Transformer_encdec,1,6,26992.73886668682,13017.666777610779,-0.17742947266130527
Transformer_encdec,1,7,25753.640528559685,12750.067879676819,-0.1532255282836117
Transformer_encdec,1,8,24660.928475022316,12545.426954746246,-0.13471604430341144
Transformer_encdec,1,9,23690.653494477272,12392.008391857147,-0.1208395553206223
Transformer_encdec,1,10,22820.44842159748,12283.790226459503,-0.11105139507611117
Transformer_encdec,1,11,22029.28386235237,12217.280643224716,-0.10503568700213095
Transformer_encdec,1,12,21299.040397822857,12191.148090600967,-0.1026720187732173
Transformer_encdec,1,13,20613.957741320133,12203.565177440643,-0.10379513341169888
Transformer_encdec,1,14,19960.844655275345,12254.62181353569,-0.1084131328168354
Transformer_encdec,1,15,19328.251378834248,12347.340647697449,-0.11679942329538573
Transformer_encdec,1,16,18706.18210798502,12482.952649831772,-0.12906533352248295
Transformer_encdec,1,17,18087.355145037174,12664.49194264412,-0.14548531147947186
Transformer_encdec,1,18,17465.959816634655,12897.630075216293,-0.1665723307221776
Transformer_encdec,1,19,16836.21438127756,13189.370054006577,-0.19295978835967387
Transformer_encdec,1,20,16194.610782623291,13547.163066864014,-0.22532164863932458
Transformer_encdec,1,21,15538.055173039436,13979.824983358383,-0.26445530737255263
Transformer_encdec,1,22,14864.021770000458,14500.883470058441,-0.31158431273517184
Transformer_encdec,1,23,14172.20441710949,15122.779341697693,-0.367833906536444
Transformer_encdec,1,24,13463.779502630234,15859.717432022095,-0.43448891696371006
Transformer_encdec,1,25,12738.473408222198,16731.465313911438,-0.5133372663946183
Transformer_encdec,1,26,11998.611180782318,17752.861701965332,-0.6057211298373542
Transformer_encdec,1,27,11249.282500982285,18944.94767189026,-0.7135436050332666
Transformer_encdec,1,28,10497.917072892189,20312.18842458725,-0.8372085858378961
Transformer_encdec,1,29,9754.868873655796,21869.282386779785,-0.9780455294195247
Transformer_encdec,1,30,9031.970463424921,23612.7844581604,-1.1357428132154586
Transformer_encdec,1,1,71039.17779350281,25694.765382766724,-0.3815082934726417
Transformer_encdec,1,2,62968.32531642914,23621.33211326599,-0.27002778095247315
Transformer_encdec,1,3,56066.67644119263,22291.186017990112,-0.19851096254695588
Transformer_encdec,1,4,50906.79052019119,21402.64674282074,-0.15073765603630052
Transformer_encdec,1,5,46868.81064081192,20762.009079933167,-0.11629303483919173
Transformer_encdec,1,6,43659.50214457512,20279.602247714996,-0.09035587802357337
Transformer_encdec,1,7,41056.0433883667,19909.68381166458,-0.07046681040755054
Transformer_encdec,1,8,38881.772336483,19629.197321414948,-0.05538612989097458
Transformer_encdec,1,9,37011.1621004343,19424.443528413773,-0.04437729810592961
Transformer_encdec,1,10,35356.07303392887,19285.55011701584,-0.036909534413760436
Transformer_encdec,1,11,33853.480523467064,19204.682494282722,-0.03256159264013947
Transformer_encdec,1,12,32457.886483073235,19177.111654996872,-0.03107922037027877
Transformer_encdec,1,13,31138.383320093155,19199.079077482224,-0.032260328179231745
Transformer_encdec,1,14,29874.618735909462,19267.537982225418,-0.03594109501077991
Transformer_encdec,1,15,28654.267457723618,19382.102623581886,-0.04210080571873309
Transformer_encdec,1,16,27468.247877180576,19544.221053004265,-0.050817271268265074
Transformer_encdec,1,17,26309.719009041786,19754.055169463158,-0.06209924574234282
Transformer_encdec,1,18,25175.29260879755,20012.954414606094,-0.07601926935142078
Transformer_encdec,1,19,24061.06985515356,20322.718614578247,-0.09267409038195451
Transformer_encdec,1,20,22962.601210296154,20685.68440246582,-0.11218935105912764
Transformer_encdec,1,21,21874.649418711662,21102.52219223976,-0.13460111423202892
Transformer_encdec,1,22,20794.355695962906,21577.883940696716,-0.16015948310023886
Transformer_encdec,1,23,19718.51104837656,22114.697451114655,-0.18902186632516904
Transformer_encdec,1,24,18645.39688807726,22715.827461719513,-0.22134230702330004
Transformer_encdec,1,25,17575.67387497425,23388.932899713516,-0.2575325680041789
Transformer_encdec,1,26,16510.05078715086,24138.638629436493,-0.29784136984440157
Transformer_encdec,1,27,15452.784531235695,24969.085774421692,-0.3424912920360843
Transformer_encdec,1,28,14410.884066224098,25882.858540534973,-0.3916213390179848
Transformer_encdec,1,29,13393.894361019135,26881.355106830597,-0.44530663545740135
Transformer_encdec,1,30,12412.487406253815,27964.755276203156,-0.5035568777554635
Transformer_encdec,1,1,78658.16221046448,28160.922639369965,-0.04381491323406461
Transformer_encdec,1,2,69778.81037473679,27539.153005599976,-0.020768348265749692
Transformer_encdec,1,3,66019.41803789139,27118.880581855774,-0.005190502773342542
Transformer_encdec,1,4,62937.78819847107,26871.9211435318,0.003963315303195825
Transformer_encdec,1,5,60502.678972005844,26762.018332004547,0.00803699542275349
Transformer_encdec,1,6,58584.64231300354,26730.62598514557,0.009200577349509409
Transformer_encdec,1,7,56983.2346303463,26731.188369750977,0.009179726427913315
Transformer_encdec,1,8,55543.16767907143,26742.554671764374,0.008758427611458508
Transformer_encdec,1,9,54179.69931817055,26761.947161197662,0.008039612859866652
Transformer_encdec,1,10,52855.911491155624,26793.045818805695,0.006886924268085459
Transformer_encdec,1,11,51553.87771487236,26842.088381290436,0.005069100003426197
Transformer_encdec,1,12,50263.94964110851,26914.54153728485,0.0023835546121656614
Transformer_encdec,1,13,48976.88050889969,27013.751715898514,-0.0012937767868426153
Transformer_encdec,1,14,47686.11209189892,27141.978591918945,-0.0060466550750271075
Transformer_encdec,1,15,46385.16389167309,27302.808569192886,-0.012007995103589408
Transformer_encdec,1,16,45066.193935632706,27500.158229112625,-0.01932295604654044
Transformer_encdec,1,17,43719.03508758545,27738.3496594429,-0.0281517827122999
Transformer_encdec,1,18,42335.92304670811,28023.056030273438,-0.038704739328914606
Transformer_encdec,1,19,40908.89783906937,28360.481868505478,-0.051211788615033615
Transformer_encdec,1,20,39430.85948181152,28759.986536741257,-0.0660198573220101
Transformer_encdec,1,21,37895.03177881241,29232.902043819427,-0.08354897848848841
Transformer_encdec,1,22,36296.38877642155,29792.386585712433,-0.10428686959515687
Transformer_encdec,1,23,34632.803669929504,30450.82412481308,-0.12869257373541765
Transformer_encdec,1,24,32906.94424700737,31225.5533618927,-0.15740873875982153
Transformer_encdec,1,25,31121.58020323515,32134.72110104561,-0.19110802838483854
Transformer_encdec,1,26,29283.999161541462,33199.8721883297,-0.23058900858235765
Transformer_encdec,1,27,27406.105348289013,34442.55412530899,-0.27665034350163853
Transformer_encdec,1,28,25505.54064965248,35879.80335712433,-0.32992352443797435
Transformer_encdec,1,29,23607.40741813183,37527.22338914871,-0.390986926528317
Transformer_encdec,1,30,21739.757434368134,39390.24256181717,-0.46004173761674316
Transformer_encdec,1,1,134819.87770843506,46930.59711456299,-0.3169861626383754
Transformer_encdec,1,2,137236.85298585892,43342.860456466675,-0.2163056039757052
Transformer_encdec,1,3,121300.28264069557,40457.10654067993,-0.13532434930715587
Transformer_encdec,1,4,107967.25901412964,38465.575119018555,-0.07943716627444486
